Category,Film,Nominee,Winner,Year,Rating_IMDB,Release_date,Rating_rtaudience,Rating_rtcritic,Oscarstat_totalnoms,Release_Q1,Release_Q2,Release_Q3,Release_Q4,Nom_Oscar_bestdirector,Nom_DGA,Nom_BAFTA,Win_DGA,Win_BAFTA,Nom_GoldenGlobe_bestcomedy,Nom_GoldenGlobe_bestdrama,Win_GoldenGlobe_bestcomedy,Win_GoldenGlobe_bestdrama,Genre_action,Genre_biography,Genre_crime,Genre_comedy,Genre_drama,Genre_horror,Genre_fantasy,Genre_sci-fi,Genre_mystery,Genre_music,Genre_romance,Genre_history,Genre_war,Genre_filmnoir,Genre_thriller,Genre_adventure,Genre_family,Genre_sport,Genre_western,MPAA_rating,MPAA_G,MPAA_PG,MPAA_PG-13,MPAA_R,MPAA_NC-17,Nowin_Criticschoice,Win_Criticschoice,Nonom_Criticschoice,Nom_Criticschoice,Nowin_SAG_bestcast,Win_SAG_bestcast,Nonom_SAG_bestcast,Nom_SAG_bestcast,Nowin_PGA,Win_PGA,Nonom_PGA,Nom_PGA
Picture,The Apartment,The Apartment,1,1961,8.3,9/16/1960,94,93,10,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,APPROVED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,The Alamo,The Alamo,0,1961,6.9,10/24/1960,64,50,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,UNRATED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,Elmer Gantry,Elmer Gantry,0,1961,7.9,1960-07,86,96,5,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,APPROVED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,Sons and Lovers,Sons and Lovers,0,1961,7.3,7/22/1960,54,75,7,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,The Sundowners,The Sundowners,0,1961,7.2,2/28/1961,62,78,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,UNRATED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,West Side Story,West Side Story,1,1962,7.6,12/23/1961,84,94,11,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UNRATED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,Fanny,Fanny,0,1962,7.1,6/28/1961,94,100,5,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,The Guns of Navarone,The Guns of Navarone,0,1962,7.6,6/22/1961,86,95,7,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,The Hustler,The Hustler,0,1962,8,10/27/1961,93,98,9,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,UNRATED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,Judgment at Nuremberg,Judgment at Nuremberg,0,1962,8.3,12/18/1961,93,90,11,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NOT RATED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,Lawrence of Arabia,Lawrence of Arabia,1,1963,8.3,12/11/1962,93,97,10,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,PG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,The Longest Day,The Longest Day,0,1963,7.8,10/4/1962,90,92,5,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,The Music Man,The Music Man,0,1963,7.7,6/19/1962,85,94,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,APPROVED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,Mutiny on the Bounty,Mutiny on the Bounty,0,1963,7.2,11/8/1962,72,71,14,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,UNRATED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,To Kill a Mockingbird,To Kill a Mockingbird,0,1963,8.3,3/16/1963,93,91,8,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NOT RATED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,Tom Jones,Tom Jones,1,1964,6.7,12/11/1963,58,83,10,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,UNRATED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,America America,America America,0,1964,7.9,6/17/1964,86,71,4,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,Cleopatra,Cleopatra,0,1964,7,7/31/1963,69,55,14,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,APPROVED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,How the West Was Won,How the West Was Won,0,1964,7.1,2/20/1963,74,100,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,APPROVED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,Lilies of the Field,Lilies of the Field,0,1964,7.7,7/5/1963,86,100,5,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UNRATED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,My Fair Lady,My Fair Lady,1,1965,7.9,12/25/1964,90,96,12,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,APPROVED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picture,Becket,Becket,0,1965,8,3/11/1964,88,76,12,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,PG-13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
